			Fahrtenschl¸ssel	05:06	05:35	05:55	06:15	06:35	06:37	07:05	07:07	07:35	07:37	08:05	08:07	08:35	08:37	09:05	09:07	09:35	09:37	10:05	10:07	10:35	10:37	11:05	11:07	11:35	11:37	11:53	12:08	12:23	12:38	12:53	13:08	13:23	13:38	13:53	14:08	14:23	14:38	14:53	15:08	15:23	15:38	15:53	16:08	16:23	16:38	16:53	17:08	17:23	17:38	17:53	18:08	18:23	18:38	18:53	19:08	19:23	19:38	19:53	20:08	20:35	20:37	21:05	21:07	21:35	21:37	22:05	22:07	22:35	22:37	23:05	23:07	23:35	23:37	23:38	24:07	24:09	24:11	24:35	24:37
37	1265	Veltlinerweg	1	    -	 05.46	 06.06	 06.26	    -	 06.56	    -	 07.26	    -	 07.56	    -	 08.26	    -	 08.56	    -	 09.26	    -	 09.56	    -	 10.26	    -	 10.56	    -	 11.26	    -	 11.44	 11.59	 12.14	 12.29	 12.44	 12.59	 13.14	 13.29	 13.44	 13.59	 14.14	 14.29	 14.44	 14.59	 15.14	 15.29	 15.44	 15.59	 16.14	 16.29	 16.44	 16.59	 17.14	 17.29	 17.44	 17.59	 18.14	 18.29	 18.44	 18.59	 19.14	 19.29	 19.44	 19.59	 20.26	    -	 20.56	    -	 21.26	    -	 21.56	    -	 22.26	    -	 22.56	    -	 23.26	    -	 23.56	 23.56	    -	 24.26	 24.26	    -	 24.56
38	1266	Ehrensteiner Feld	1	    -	 05.47	 06.07	 06.27	    -	 06.57	    -	 07.27	    -	 07.57	    -	 08.27	    -	 08.57	    -	 09.27	    -	 09.57	    -	 10.27	    -	 10.57	    -	 11.27	    -	 11.45	 12.00	 12.15	 12.30	 12.45	 13.00	 13.15	 13.30	 13.45	 14.00	 14.15	 14.30	 14.45	 15.00	 15.15	 15.30	 15.45	 16.00	 16.15	 16.30	 16.45	 17.00	 17.15	 17.30	 17.45	 18.00	 18.15	 18.30	 18.45	 19.00	 19.15	 19.30	 19.45	 20.00	 20.27	    -	 20.57	    -	 21.27	    -	 21.57	    -	 22.27	    -	 22.57	    -	 23.27	    -	 23.57	 23.57	    -	 24.27	 24.27	    -	 24.57
39	1255	Heilmeyersteige	1	    -	 05.48	 06.08	 06.28	    -	 06.58	    -	 07.28	    -	 07.58	    -	 08.28	    -	 08.58	    -	 09.28	    -	 09.58	    -	 10.28	    -	 10.58	    -	 11.28	    -	 11.46	 12.01	 12.16	 12.31	 12.46	 13.01	 13.16	 13.31	 13.46	 14.01	 14.16	 14.31	 14.46	 15.01	 15.16	 15.31	 15.46	 16.01	 16.16	 16.31	 16.46	 17.01	 17.16	 17.31	 17.46	 18.01	 18.16	 18.31	 18.46	 19.01	 19.16	 19.31	 19.46	 20.01	 20.28	    -	 20.58	    -	 21.28	    -	 21.58	    -	 22.28	    -	 22.58	    -	 23.28	    -	 23.58	 23.58	    -	 24.28	 24.28	    -	 24.58
40	1256	Virchowstraﬂe	1	    -	 05.49	 06.09	 06.29	    -	 06.59	    -	 07.29	    -	 07.59	    -	 08.29	    -	 08.59	    -	 09.29	    -	 09.59	    -	 10.29	    -	 10.59	    -	 11.29	    -	 11.47	 12.02	 12.17	 12.32	 12.47	 13.02	 13.17	 13.32	 13.47	 14.02	 14.17	 14.32	 14.47	 15.02	 15.17	 15.32	 15.47	 16.02	 16.17	 16.32	 16.47	 17.02	 17.17	 17.32	 17.47	 18.02	 18.17	 18.32	 18.47	 19.02	 19.17	 19.32	 19.47	 20.02	 20.29	    -	 20.59	    -	 21.29	    -	 21.59	    -	 22.29	    -	 22.59	    -	 23.29	    -	 23.59	 23.59	    -	 24.29	 24.29	    -	 24.59
41	1257	Sˆflinger Weinberge	1	    -	 05.50	 06.10	 06.30	    -	 07.00	    -	 07.30	    -	 08.00	    -	 08.30	    -	 09.00	    -	 09.30	    -	 10.00	    -	 10.30	    -	 11.00	    -	 11.30	    -	 11.48	 12.03	 12.18	 12.33	 12.48	 13.03	 13.18	 13.33	 13.48	 14.03	 14.18	 14.33	 14.48	 15.03	 15.18	 15.33	 15.48	 16.03	 16.18	 16.33	 16.48	 17.03	 17.18	 17.33	 17.48	 18.03	 18.18	 18.33	 18.48	 19.03	 19.18	 19.33	 19.48	 20.03	 20.30	    -	 21.00	    -	 21.30	    -	 22.00	    -	 22.30	    -	 23.00	    -	 23.30	    -	 24.00	 24.00	    -	 24.30	 24.30	    -	 25.00
42	1258	Sonnenfeld	1	    -	 05.51	 06.11	 06.31	    -	 07.01	    -	 07.31	    -	 08.01	    -	 08.31	    -	 09.01	    -	 09.31	    -	 10.01	    -	 10.31	    -	 11.01	    -	 11.31	    -	 11.49	 12.04	 12.19	 12.34	 12.49	 13.04	 13.19	 13.34	 13.49	 14.04	 14.19	 14.34	 14.49	 15.04	 15.19	 15.34	 15.49	 16.04	 16.19	 16.34	 16.49	 17.04	 17.19	 17.34	 17.49	 18.04	 18.19	 18.34	 18.49	 19.04	 19.19	 19.34	 19.49	 20.04	 20.31	    -	 21.01	    -	 21.31	    -	 22.01	    -	 22.31	    -	 23.01	    -	 23.31	    -	 24.01	 24.01	    -	    -	 24.31	    -	    -
43	1254	Lise-Meitner-Straﬂe	1	    -	 05.52	 06.12	 06.32	    -	 07.02	    -	 07.32	    -	 08.02	    -	 08.32	    -	 09.02	    -	 09.32	    -	 10.02	    -	 10.32	    -	 11.02	    -	 11.32	    -	 11.50	 12.05	 12.20	 12.35	 12.50	 13.05	 13.20	 13.35	 13.50	 14.05	 14.20	 14.35	 14.50	 15.05	 15.20	 15.35	 15.50	 16.05	 16.20	 16.35	 16.50	 17.05	 17.20	 17.35	 17.50	 18.05	 18.20	 18.35	 18.50	 19.05	 19.20	 19.35	 19.50	 20.05	 20.32	    -	 21.02	    -	 21.32	    -	 22.02	    -	 22.32	    -	 23.02	    -	 23.32	    -	 24.02	 24.02	    -	    -	 24.32	    -	    -
44	1248	Hochschule Eselsberg	2	    -	 05.53	 06.13	 06.33	    -	 07.03	    -	 07.33	    -	 08.03	    -	 08.33	    -	 09.03	    -	 09.33	    -	 10.03	    -	 10.33	    -	 11.03	    -	 11.33	    -	 11.51	 12.06	 12.21	 12.36	 12.51	 13.06	 13.21	 13.36	 13.51	 14.06	 14.21	 14.36	 14.51	 15.06	 15.21	 15.36	 15.51	 16.06	 16.21	 16.36	 16.51	 17.06	 17.21	 17.36	 17.51	 18.06	 18.21	 18.36	 18.51	 19.06	 19.21	 19.36	 19.51	 20.06	 20.33	    -	 21.03	    -	 21.33	    -	 22.03	    -	 22.33	    -	 23.03	    -	 23.33	    -	 24.03	 24.03	    -	    -	 24.33	    -	    -
45	1247	Wilhelm-Runge-Straﬂe	2	    -	 05.54	 06.14	 06.34	    -	 07.04	    -	 07.34	    -	 08.04	    -	 08.34	    -	 09.04	    -	 09.34	    -	 10.04	    -	 10.34	    -	 11.04	    -	 11.34	    -	 11.52	 12.07	 12.22	 12.37	 12.52	 13.07	 13.22	 13.37	 13.52	 14.07	 14.22	 14.37	 14.52	 15.07	 15.22	 15.37	 15.52	 16.07	 16.22	 16.37	 16.52	 17.07	 17.22	 17.37	 17.52	 18.07	 18.22	 18.37	 18.52	 19.07	 19.22	 19.37	 19.52	 20.07	 20.34	    -	 21.04	    -	 21.34	    -	 22.04	    -	 22.34	    -	 23.04	    -	 23.34	    -	 24.04	 24.04	    -	    -	 24.34	    -	    -
46	1246	Universit‰t West	2	    -	 05.55	 06.15	 06.35	    -	 07.05	    -	 07.35	    -	 08.05	    -	 08.35	    -	 09.05	    -	 09.35	    -	 10.05	    -	 10.35	    -	 11.05	    -	 11.35	    -	 11.53	 12.08	 12.23	 12.38	 12.53	 13.08	 13.23	 13.38	 13.53	 14.08	 14.23	 14.38	 14.53	 15.08	 15.23	 15.38	 15.53	 16.08	 16.23	 16.38	 16.53	 17.08	 17.23	 17.38	 17.53	 18.08	 18.23	 18.38	 18.53	 19.08	 19.23	 19.38	 19.53	 20.08	 20.35	    -	 21.05	    -	 21.35	    -	 22.05	    -	 22.35	    -	 23.05	    -	 23.35	    -	 24.05	 24.05	    -	    -	 24.35	    -	    -
47	1245	Kliniken Wissenschaftsstadt	2	    -	 05.56	 06.16	 06.36	    -	 07.06	    -	 07.36	    -	 08.06	    -	 08.36	    -	 09.06	    -	 09.36	    -	 10.06	    -	 10.36	    -	 11.06	    -	 11.36	    -	 11.54	 12.09	 12.24	 12.39	 12.54	 13.09	 13.24	 13.39	 13.54	 14.09	 14.24	 14.39	 14.54	 15.09	 15.24	 15.39	 15.54	 16.09	 16.24	 16.39	 16.54	 17.09	 17.24	 17.39	 17.54	 18.09	 18.24	 18.39	 18.54	 19.09	 19.24	 19.39	 19.54	 20.09	 20.36	    -	 21.06	    -	 21.36	    -	 22.06	    -	 22.36	    -	 23.06	    -	 23.36	    -	 24.06	 24.06	    -	    -	 24.36	    -	    -
48	1245	Kliniken Wissenschaftsstadt	2	    -	 05.59	 06.29	 06.59	    -	 07.29	    -	 07.59	    -	 08.29	    -	 08.59	    -	 09.29	    -	 09.59	    -	 10.29	    -	 10.59	    -	 11.29	    -	 11.39	    -	 11.54	 12.09	 12.24	 12.39	 12.54	 13.09	 13.24	 13.39	 13.54	 14.09	 14.24	 14.39	 14.54	 15.09	 15.24	 15.39	 15.54	 16.09	 16.24	 16.39	 16.54	 17.09	 17.24	 17.39	 17.54	 18.09	 18.24	 18.39	 18.54	 19.09	 19.24	 19.39	 19.59	 20.29	 20.59	    -	 21.29	    -	 21.59	    -	 22.29	    -	 22.59	    -	 23.29	    -	 23.59	    -	 24.09	 24.29	    -	    -	 24.39	    -	    -
49	1244	Staudingerstraﬂe	2	    -	 06.00	 06.30	 07.00	    -	 07.30	    -	 08.00	    -	 08.30	    -	 09.00	    -	 09.30	    -	 10.00	    -	 10.30	    -	 11.00	    -	 11.30	    -	 11.40	    -	 11.55	 12.10	 12.25	 12.40	 12.55	 13.10	 13.25	 13.40	 13.55	 14.10	 14.25	 14.40	 14.55	 15.10	 15.25	 15.40	 15.55	 16.10	 16.25	 16.40	 16.55	 17.10	 17.25	 17.40	 17.55	 18.10	 18.25	 18.40	 18.55	 19.10	 19.25	 19.40	 20.00	 20.30	 21.00	    -	 21.30	    -	 22.00	    -	 22.30	    -	 23.00	    -	 23.30	    -	 24.00	    -	 24.10	 24.30	    -	    -	 24.40	    -	    -
50	1241	Botanischer Garten	2	    -	 06.01	 06.31	 07.01	    -	 07.31	    -	 08.01	    -	 08.31	    -	 09.01	    -	 09.31	    -	 10.01	    -	 10.31	    -	 11.01	    -	 11.31	    -	 11.41	    -	 11.56	 12.11	 12.26	 12.41	 12.56	 13.11	 13.26	 13.41	 13.56	 14.11	 14.26	 14.41	 14.56	 15.11	 15.26	 15.41	 15.56	 16.11	 16.26	 16.41	 16.56	 17.11	 17.26	 17.41	 17.56	 18.11	 18.26	 18.41	 18.56	 19.11	 19.26	 19.41	 20.01	 20.31	 21.01	    -	 21.31	    -	 22.01	    -	 22.31	    -	 23.01	    -	 23.31	    -	 24.01	    -	 24.11	 24.31	    -	    -	 24.41	    -	    -
51	1240	Universit‰t S¸d	2	    -	 06.02	 06.32	 07.02	    -	 07.32	    -	 08.02	    -	 08.32	    -	 09.02	    -	 09.32	    -	 10.02	    -	 10.32	    -	 11.02	    -	 11.32	    -	 11.42	    -	 11.57	 12.12	 12.27	 12.42	 12.57	 13.12	 13.27	 13.42	 13.57	 14.12	 14.27	 14.42	 14.57	 15.12	 15.27	 15.42	 15.57	 16.12	 16.27	 16.42	 16.57	 17.12	 17.27	 17.42	 17.57	 18.12	 18.27	 18.42	 18.57	 19.12	 19.27	 19.42	 20.02	 20.32	 21.02	    -	 21.32	    -	 22.02	    -	 22.32	    -	 23.02	    -	 23.32	    -	 24.02	    -	 24.12	 24.32	    -	    -	 24.42	    -	    -
